element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""""","=""444.245""","=""""","=""""","=""3.81e+06""",C,"=""12.1263787""","=""14.91649""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""446.590""","=""""","=""""","=""2.04e+04""",C,"=""12.1219574""","=""14.89742""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
B,2,"=""447.2101""","=""0.0010""","=""447.2029""","=""0.0010""","=""470*""","=""1.81e+07""",C,"=""17.852479""","=""20.624138""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.4s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""447.2101""","=""0.0010""","=""447.2151""","=""0.0010""","=""470*""","=""5.44e+07""",B,"=""17.852554""","=""20.624138""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.4s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""447.2851""","=""0.0010""","=""447.2862""","=""0.0010""","=""470""","=""9.05e+07""",B,"=""17.852994""","=""20.624138""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.4s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
N,1,"=""""","=""""","=""447.417""","=""""","=""""","=""2.76e+04""",C,"=""12.1263787""","=""14.89671""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
Ar,1,"=""451.0733""","=""""","=""451.07334""","=""""","=""100""","=""1.18e+06""",B+,"=""11.82807116""","=""14.57594878""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
Ar,1,"=""452.2323""","=""""","=""452.23234""","=""""","=""20""","=""9.0e+04""",B,"=""11.72316039""","=""14.46399577""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
B,2,"=""""","=""""","=""453.229""","=""0.010""","=""""","=""3.0e+05""",D,"=""21.687550""","=""24.42236""","=""1s2.2s.4f""","=""1F*""","=""3""","=""1s2.2p.3p""","=""1D""","=""2""",,"=""u27""","=""""",
Ar,1,"=""""","=""""","=""454.4746""","=""""","=""""","=""8.3e+04""",E,"=""12.90701530""","=""15.634328""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""455.4324""","=""""","=""""","=""3.8e+04""",E,"=""12.90701530""","=""15.628593""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.4956""","=""""","=""""","=""1.6e+05""",E,"=""12.90701530""","=""15.610410""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.6611""","=""""","=""""","=""2.3e+05""",E,"=""12.90701530""","=""15.609435""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.7209""","=""""","=""""","=""4.9e+05""",E,"=""12.90701530""","=""15.609082""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.92893""","=""""","=""""","=""6.2e+03""",C,"=""11.82807116""","=""14.52891349""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""""",
Ar,1,"=""459.6097""","=""""","=""459.60966""","=""""","=""15""","=""9.5e+04""",B,"=""11.82807116""","=""14.52491330""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
